CustomerID,FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Age,AgeGroup
11024,Russell,Xie,8734 Oxford Place,Concord,California,United States,94519,746-555-0186,1978-09-17,Partial College,Skilled Manual,M,M,1,2,0,0,91276,77,0,19,Under 25 years
11025,Alejandro,Beck,2596 Franklin Canyon Road,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,1945-12-23,Partial High School,Clerical,M,M,1,2,1,2,24334,70,0,52,Between 45 and 55 years
11026,Harold,Sai,8211 Leeds Ct.,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,1946-04-03,Partial College,Clerical,M,S,0,2,0,2,61905,63,0,51,Between 45 and 55 years
11027,Jessie,Zhao,213 Valencia Place,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,1946-12-07,Partial College,Clerical,M,M,1,2,0,2,49349,76,0,51,Between 45 and 55 years
11028,Jill,Jimenez,9111 Rose Ann Ave,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,1946-04-11,Partial College,Clerical,F,M,1,2,0,2,44068,43,0,51,Between 45 and 55 years
11031,Theresa,Ramos,6465 Detroit Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,1947-08-22,High School,Skilled Manual,F,M,1,2,0,4,18843,43,0,50,Between 45 and 55 years
11032,Denise,Stone,626 Bentley Street,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,1947-06-11,High School,Skilled Manual,F,M,1,2,0,4,15861,42,0,50,Between 45 and 55 years
11033,Jaime,Nath,5927 Rainbow Dr,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,1947-09-23,High School,Skilled Manual,M,M,1,2,0,4,35822,58,0,50,Between 45 and 55 years
11034,Ebony,Gonzalez,5167 Condor Place,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,1947-06-19,High School,Skilled Manual,F,M,1,2,0,4,29017,39,0,50,Between 45 and 55 years
11035,Wendy,Dominguez,1873 Mt. Whitney Dr,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,1948-02-24,Partial High School,Clerical,F,M,1,2,1,2,11721,50,0,49,Between 45 and 55 years
11036,Jennifer,Russell,3981 Augustine Drive,National City,California,United States,91950,115-555-0183,1978-12-18,Partial College,Skilled Manual,F,M,1,2,0,0,84890,52,0,19,Under 25 years
11037,Chloe,Garcia,8915 Woodside Way,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,1977-11-27,Partial High School,Clerical,F,S,0,2,0,0,48651,46,0,20,Under 25 years
11040,Jesse,Murphy,3350 Kingswood Circle,Tacoma,Washington,United States,98403,961-555-0176,1977-08-01,Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0,20,Under 25 years
11042,Megan,Sanchez,1397 Paraiso Ct.,Los Angeles,California,United States,90012,404-555-0199,1977-06-13,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0,20,Under 25 years
11043,Nathan,Simmons,1170 Shaw Rd,Glendale,California,United States,91203,296-555-0181,1976-02-24,Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0,21,Under 25 years
11044,Adam,Flores,6935 Candle Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0163,1949-05-24,Partial High School,Clerical,M,M,1,2,1,2,24007,76,0,48,Between 45 and 55 years
11045,Leonard,Nara,7466 La Vista Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0151,1950-05-19,High School,Skilled Manual,M,S,0,2,0,3,51472,63,0,47,Between 45 and 55 years
11046,Christine,Yuan,2356 Orange St,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,1950-03-22,High School,Skilled Manual,F,M,1,2,0,3,50798,48,0,47,Between 45 and 55 years
11047,Jaclyn,Lu,2812 Mazatlan,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,1950-02-27,High School,Skilled Manual,F,M,0,2,0,3,42738,43,0,47,Between 45 and 55 years
11049,Carol,Rai,6064 Madrid,Chula Vista,California,United States,91910,654-555-0180,1980-07-18,Partial High School,Clerical,F,S,1,2,0,0,48422,41,1,17,Under 25 years
11050,Alan,Zheng,2741 Gainborough Dr.,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0135,1951-09-07,High School,Skilled Manual,M,M,1,2,0,3,58585,73,0,46,Between 45 and 55 years
11051,Daniel,Johnson,8085 Sunnyvale Avenue,Caloundra,Queensland,Australia,4551,1 (11) 500 555-0155,1951-08-04,High School,Skilled Manual,M,S,0,2,0,3,45982,64,0,46,Between 45 and 55 years
11052,Heidi,Lopez,2514 Via Cordona,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0168,1951-08-07,Partial College,Clerical,F,S,0,2,0,2,50790,49,0,46,Between 45 and 55 years
11053,Ana,Price,1660 Stonyhill Circle,San Diego,California,United States,92102,859-555-0113,1980-08-20,Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0,17,Under 25 years
11054,Deanna,Munoz,5825 B Way,Geelong,Victoria,Australia,3220,1 (11) 500 555-0192,1952-03-10,Partial College,Skilled Manual,F,M,1,2,0,2,50018,43,0,45,Between 45 and 55 years
11055,Gilbert,Raje,8811 The Trees Dr.,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0129,1952-03-05,Partial College,Skilled Manual,M,M,1,2,0,2,53459,75,0,45,Between 45 and 55 years
11056,Michele,Nath,5464 Janin Pl.,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,1953-04-03,Partial College,Skilled Manual,F,M,1,2,0,3,38588,46,0,44,Between 25 and 45 years
11057,Carl,Andersen,6930 Lake Nadine Place,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0181,1953-10-12,Graduate Degree,Management,M,M,1,2,0,2,119540,82,0,44,Between 25 and 45 years
11058,Marc,Diaz,6645 Sinaloa,Findon,South Australia,Australia,5023,1 (11) 500 555-0149,1954-04-27,Partial College,Skilled Manual,M,M,1,2,0,2,119982,87,0,43,Between 25 and 45 years
11059,Ashlee,Andersen,8255 Highland Road,Townsville,Queensland,Australia,4810,1 (11) 500 555-0112,1954-04-01,Partial College,Skilled Manual,F,S,1,2,0,2,86953,45,0,43,Between 25 and 45 years
11060,Jon,Zhou,6574 Hemlock Ave.,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0174,1954-03-17,Partial College,Skilled Manual,M,M,1,2,0,2,116368,87,0,43,Between 25 and 45 years
11061,Todd,Gao,8808 Geneva Ave,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0191,1954-02-27,Partial College,Skilled Manual,M,M,1,2,0,2,110712,84,1,43,Between 25 and 45 years
11062,Noah,Powell,9794 Marion Ct,Portland,Oregon,United States,97205,767-555-0113,1975-09-02,High School,Skilled Manual,M,M,1,2,0,0,52145,71,0,22,Under 25 years
11063,Angela,Murphy,4927 Virgil Street,Redmond,Washington,United States,98052,451-555-0162,1975-04-07,High School,Skilled Manual,F,S,1,2,0,0,49609,40,0,22,Under 25 years
11064,Chase,Reed,2721 Alexander Pl.,Downey,California,United States,90241,892-555-0184,1975-12-07,High School,Skilled Manual,M,M,1,2,0,0,58306,76,0,22,Under 25 years
11065,Jessica,Henderson,9343 Ironwood Way,La Jolla,California,United States,92806,278-555-0186,1973-10-09,Partial College,Skilled Manual,F,M,0,2,0,0,73388,48,1,24,Under 25 years
11066,Grace,Butler,4739 Garden Ave.,Lebanon,Oregon,United States,97355,712-555-0141,1973-11-27,Partial College,Professional,F,M,1,2,0,0,61686,50,0,24,Under 25 years
11067,Caleb,Carter,9563 Pennsylvania Blvd.,Port Orchard,Washington,United States,98366,944-555-0167,1976-09-25,Partial College,Professional,M,S,1,2,0,0,96049,70,1,21,Under 25 years
11070,Willie,Raji,6260 Vernal Drive,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0151,1955-04-05,High School,Skilled Manual,M,M,1,2,0,2,109883,87,0,42,Between 25 and 45 years
11071,Linda,Serrano,9808 Shaw Rd.,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0130,1955-06-26,High School,Skilled Manual,F,S,1,2,0,2,106718,51,0,42,Between 25 and 45 years
11072,Casey,Luo,9513 Roslyn Drive,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0125,1955-02-06,High School,Skilled Manual,F,S,0,2,0,2,97646,52,0,42,Between 25 and 45 years
11073,Amy,Ye,2262 Kirkwood Ct.,Springwood,New South Wales,Australia,2777,1 (11) 500 555-0185,1956-08-14,High School,Skilled Manual,F,S,1,2,0,2,58916,51,0,41,Between 25 and 45 years
11074,Levi,Arun,4661 Bluetail,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0127,1956-08-28,High School,Skilled Manual,M,S,1,2,0,2,93934,74,0,41,Between 25 and 45 years
11075,Felicia,Jimenez,786 Eastgate Ave,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0165,1957-11-16,High School,Professional,F,S,1,2,0,2,99137,51,0,40,Between 25 and 45 years
11076,Blake,Anderson,5436 Clear,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0113,1957-07-13,High School,Professional,M,S,1,2,0,2,112044,73,0,40,Between 25 and 45 years
11077,Leah,Ye,1291 Arguello Blvd.,Melton,Victoria,Australia,3337,1 (11) 500 555-0154,1957-09-19,High School,Professional,F,S,0,2,0,2,108728,55,0,40,Between 25 and 45 years
11078,Gina,Martin,1349 Sol St.,Cliffside,British Columbia,Canada,V8Y 1L1,196-555-0114,1974-01-10,High School,Professional,F,S,0,2,0,0,49084,48,1,23,Under 25 years
11079,Donald,Gonzalez,4236 Malibu Place,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,1959-03-11,Graduate Degree,Management,M,S,1,2,0,0,172444,87,0,38,Between 25 and 45 years
11080,Damien,Chander,9941 Stonehedge Dr.,Perth,South Australia,Australia,6006,1 (11) 500 555-0111,1959-07-17,Graduate Degree,Management,M,M,1,2,0,0,181590,92,1,38,Between 25 and 45 years
11081,Savannah,Baker,1210 Trafalgar Circle,Concord,California,United States,94519,478-555-0117,1966-07-24,Bachelors ,Management,F,M,1,3,2,2,148109,76,0,31,Between 25 and 45 years
11082,Angela,Butler,6040 Listing Ct,Fremont,California,United States,94536,579-555-0195,1966-08-04,Graduate Degree,Management,F,S,0,3,1,1,149717,62,1,31,Between 25 and 45 years
11083,Alyssa,Cox,867 La Orinda Place,Lincoln Acres,California,United States,91950,561-555-0140,1966-03-15,Graduate Degree,Management,F,M,1,3,1,1,163913,68,1,31,Between 25 and 45 years
11085,Emily,Johnson,7926 Stephanie Way,Newport Beach,California,United States,92625,850-555-0184,1957-07-19,High School,Professional,F,S,0,2,0,2,66900,47,0,40,Between 25 and 45 years
11086,Ryan,Brown,2939 Wesley Ct.,Santa Monica,California,United States,90401,539-555-0198,1957-12-23,Partial College,Professional,M,M,1,0,1,2,97834,98,0,40,Between 25 and 45 years
11088,Hunter,Davis,4308 Sand Pointe Lane,San Diego,California,United States,92102,612-555-0141,1957-11-25,Bachelors ,Management,M,M,1,0,1,2,129910,104,0,40,Between 25 and 45 years
11089,Abigail,Price,2685 Blackburn Ct,Long Beach,California,United States,90802,532-555-0117,1957-02-05,Bachelors ,Management,F,S,1,1,1,2,91729,57,1,40,Between 25 and 45 years
11090,Trevor,Bryant,5781 Sharon Dr.,Los Angeles,California,United States,90012,853-555-0174,1957-12-17,Partial College,Professional,M,S,1,1,0,2,113883,76,0,40,Between 25 and 45 years
11091,Dalton,Perez,6083 San Jose,Haney,British Columbia,Canada,V2W 1W2,559-555-0115,1957-04-04,Partial College,Professional,M,M,1,1,0,2,112820,82,0,40,Between 25 and 45 years
11093,Aimee,He,1833 Olympic Drive,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0161,1967-09-10,Graduate Degree,Management,F,M,1,0,0,0,106839,58,0,30,Between 25 and 45 years
11094,Cedric,Ma,3407 Oak Brook Place,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0115,1962-04-01,Partial College,Skilled Manual,M,S,0,1,0,1,88887,78,1,35,Between 25 and 45 years
11095,Chad,Kumar,1681 Lighthouse Way,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0151,1962-09-01,Partial College,Skilled Manual,M,S,1,1,0,1,108740,77,0,35,Between 25 and 45 years
11096,Andrés,Anand,5423 Los Gatos Ct.,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0184,1962-08-10,Bachelors ,Professional,M,M,1,1,0,1,106971,87,1,35,Between 25 and 45 years
11097,Edwin,Nara,719 William Way,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0112,1961-10-27,Partial College,Skilled Manual,M,M,1,1,0,1,98519,80,0,36,Between 25 and 45 years
11098,Mallory,Rubio,6452 Harris Circle,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0157,1961-05-01,Partial College,Skilled Manual,F,S,0,1,0,1,82707,54,0,36,Between 25 and 45 years
11099,Adam,Ross,4378 Westminster Place,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0186,1961-03-08,Bachelors ,Professional,M,M,1,1,0,1,103866,83,1,36,Between 25 and 45 years
11100,Latasha,Navarro,6954 Ranch Road,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0123,1960-09-15,Partial College,Skilled Manual,F,S,1,1,0,1,66520,46,0,37,Between 25 and 45 years
11101,Abby,Sai,7074 N. Spoonwood Court,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0174,1965-05-08,Bachelors ,Professional,F,S,0,1,0,0,75270,47,1,32,Between 25 and 45 years
11102,Julia,Nelson,2196 Coat Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0124,1965-04-21,Bachelors ,Professional,F,S,1,4,5,5,95167,89,1,32,Between 25 and 45 years
11103,Cassie,Chande,9448 San Marino Ct.,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0166,1964-10-17,Bachelors ,Professional,F,S,1,1,0,0,85087,49,0,33,Between 25 and 45 years
11104,Edgar,Sara,6127 Lilly Lane,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0125,1964-03-11,Bachelors ,Professional,M,M,0,1,0,0,102445,85,0,33,Between 25 and 45 years
11105,Candace,Fernandez,5029 Blue Ridge,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0162,1964-12-28,Bachelors ,Professional,F,S,0,1,0,0,88445,52,0,33,Between 25 and 45 years
11106,Jessie,Liu,3063 Blue Jay Drive,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0163,1964-09-11,Bachelors ,Professional,M,S,0,1,0,0,97782,74,1,33,Between 25 and 45 years
11107,Bianca,Lin,7530 Eola,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0121,1959-09-09,Bachelors ,Professional,F,M,1,1,0,1,117317,54,1,38,Between 25 and 45 years
11109,Ruben,Kapoor,1984 Glendale Circle,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0132,1963-11-05,Bachelors ,Professional,M,S,0,2,0,0,106891,79,1,34,Between 25 and 45 years
11110,Curtis,Yang,4052 Mt. Wilson Way,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0127,1962-06-06,Partial College,Skilled Manual,M,M,1,1,0,1,77012,74,1,35,Between 25 and 45 years
11111,Meredith,Gutierrez,7610 Northridge Ct.,Geelong,Victoria,Australia,3220,1 (11) 500 555-0179,1962-02-23,Partial College,Skilled Manual,F,M,1,1,0,1,62702,56,1,35,Between 25 and 45 years
11112,Crystal,Wang,2773 Kirkwood Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0134,1962-09-09,Partial College,Skilled Manual,F,M,1,1,0,1,73151,51,0,35,Between 25 and 45 years
11113,Micheal,Blanco,596 Marfargoa Drive,Perth,South Australia,Australia,6006,1 (11) 500 555-0131,1962-02-21,Bachelors ,Professional,M,M,1,2,4,5,104220,142,1,35,Between 25 and 45 years
11115,Alvin,Cai,7759 Azalea Avenue,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0191,1962-02-12,Partial College,Skilled Manual,M,M,1,2,4,5,93330,141,1,35,Between 25 and 45 years
11116,Clinton,Carlson,7943 Cunha Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0184,1962-10-07,Partial College,Skilled Manual,M,M,1,2,4,5,86770,140,1,35,Between 25 and 45 years
11117,April,Deng,485 Ash Lane,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0182,1961-02-21,Partial College,Skilled Manual,F,M,1,3,4,5,73276,84,1,36,Between 25 and 45 years
11119,Evan,James,4157 Sierra Ridge,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0187,1935-04-10,Partial College,Clerical,M,S,0,2,0,2,51078,58,0,62,Over 55 years
11120,Beth,Jiménez,7401 Las Palmas,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0164,1936-08-09,Bachelors ,Management,F,S,1,1,0,2,52280,37,0,61,Over 55 years
11122,Byron,Vazquez,3187 Hackamore Lane,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,1960-04-02,Partial College,Skilled Manual,M,M,1,3,4,5,88615,143,0,37,Between 25 and 45 years
11123,Philip,Alvarez,2775 Mt. Olivet Pl.,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,1960-06-20,Partial College,Skilled Manual,M,M,1,3,4,5,102114,140,1,37,Between 25 and 45 years
11124,Ross,Jordan,6973 Dublin Court,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1957-07-27,Partial College,Skilled Manual,M,S,1,1,0,1,106875,80,1,40,Between 25 and 45 years
11125,Dana,Navarro,8481 Zartop Street,Seaford,Victoria,Australia,3198,1 (11) 500 555-0172,1956-04-08,Partial College,Skilled Manual,F,S,1,1,0,1,65730,46,0,41,Between 25 and 45 years
11126,Shaun,Carson,57 Wolf Way,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0155,1949-04-07,High School,Skilled Manual,M,M,0,2,1,2,32857,75,0,48,Between 45 and 55 years
11127,Jan,Edwards,9409 The Alameda,San Gabriel,California,United States,91776,111-555-0118,1975-10-21,High School,Skilled Manual,F,M,1,1,0,0,46078,46,0,22,Under 25 years
11129,Julia,Wright,7397 Central Blvd.,Sedro Woolley,Washington,United States,98284,456-555-0174,1975-08-05,High School,Skilled Manual,F,S,1,1,0,0,32122,37,0,22,Under 25 years
11130,Caroline,Russell,3884 Bates Court,Lebanon,Oregon,United States,97355,424-555-0137,1980-01-06,High School,Skilled Manual,F,M,1,2,0,0,34879,48,0,17,Under 25 years
11131,Amanda,Rivera,9573 Royal Oak Rd.,Haney,British Columbia,Canada,V2W 1W2,918-555-0126,1980-03-12,High School,Skilled Manual,F,M,0,2,0,0,39266,44,0,17,Under 25 years
11132,Melissa,Richardson,6832 Fruitwood Dr,Langford,British Columbia,Canada,V9,928-555-0118,1980-10-26,High School,Skilled Manual,F,S,0,2,0,0,44139,40,0,17,Under 25 years
11133,Angela,Griffin,3828 Baltic Sea Ct,Lake Oswego,Oregon,United States,97034,598-555-0174,1980-09-08,Partial High School,Clerical,F,S,0,2,0,0,37010,34,0,17,Under 25 years
11134,Larry,Townsend,7034 Carson,Perth,South Australia,Australia,6006,1 (11) 500 555-0130,1946-02-26,High School,Skilled Manual,M,S,1,2,0,5,26209,64,1,51,Between 45 and 55 years
11135,Marcus,Harris,9068 Quiet Place Drive,Burlingame,California,United States,94010,442-555-0119,1979-11-03,Partial High School,Clerical,M,S,0,2,0,0,64613,63,0,18,Under 25 years
11136,Brianna,Morgan,9005 Eagle Ct.,Metchosin,British Columbia,Canada,V9,954-555-0117,1978-10-26,High School,Skilled Manual,F,S,0,2,0,0,38527,46,0,19,Under 25 years
11137,Jasmine,Taylor,2457 Matterhorn Court,Spokane,Washington,United States,99202,557-555-0146,1978-07-20,High School,Skilled Manual,F,M,1,2,0,0,42811,47,0,19,Under 25 years
11138,Lauren,Davis,8105 Pembrook Court,Glendale,California,United States,91203,832-555-0121,1978-09-15,High School,Skilled Manual,F,M,0,2,0,0,48772,45,0,19,Under 25 years
11139,Tanya,Moreno,6155 Wilbur Drive,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0185,1938-11-09,Partial College,Clerical,F,S,0,2,0,2,27610,39,0,59,Over 55 years
11140,Javier,Alvarez,8935 Etcheverry Dr.,Burbank,California,United States,91502,763-555-0134,1977-02-11,Partial High School,Clerical,M,S,0,2,0,0,64633,69,0,20,Under 25 years
11141,Nicole,Ramirez,1101 C Street,Daly City,California,United States,94015,152-555-0162,1977-06-21,High School,Skilled Manual,F,M,0,2,0,0,32916,43,0,20,Under 25 years
11142,Eduardo,Patterson,6255 Macalvey Dr.,Langford,British Columbia,Canada,V9,190-555-0184,1977-08-14,High School,Skilled Manual,M,S,0,2,0,0,63488,73,1,20,Under 25 years
11144,Edward,Hernandez,7607 Pine Hollow Road,Ballard,Washington,United States,98107,178-555-0196,1979-09-09,High School,Skilled Manual,M,S,0,2,0,0,54938,64,0,18,Under 25 years
11145,Jasmine,Coleman,1961 Oak Grove Road,Beaverton,Oregon,United States,97005,857-555-0115,1979-12-08,High School,Skilled Manual,F,S,0,2,0,0,29691,37,0,18,Under 25 years
11146,Karla,Goel,3272 Corrie Lane,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0137,1939-08-26,Bachelors ,Management,F,S,1,2,0,2,66934,47,0,58,Over 55 years
11147,Ernest,Wu,1832 RiverRock Dr,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0139,1939-02-05,Graduate Degree,Management,M,M,1,1,0,2,124211,78,0,58,Over 55 years
11148,Ross,Vazquez,1201 Paso Del Rio Way,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0163,1941-08-16,Bachelors ,Management,M,M,1,2,0,2,63251,67,0,56,Over 55 years
11149,Theodore,Gill,9120 Pinewood Court,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0194,1941-04-20,Bachelors ,Management,M,M,1,2,0,2,82448,71,0,56,Over 55 years
11150,Russell,Shen,4755 Easley Drive,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,1941-03-15,Bachelors ,Management,M,S,1,2,0,2,77855,69,0,56,Over 55 years
11151,Melinda,Gill,805 Rainier Dr.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0117,1942-02-25,Graduate Degree,Management,F,S,0,1,0,2,94385,46,0,55,Between 45 and 55 years
11152,James,Williams,6827 Seagull Court,Puyallup,Washington,United States,98371,355-555-0153,1976-01-10,High School,Skilled Manual,M,S,1,2,0,0,62553,72,1,21,Under 25 years
11153,Angela,James,8877 Weatherly Drive,Renton,Washington,United States,98055,847-555-0111,1976-06-23,High School,Skilled Manual,F,M,1,2,0,0,37229,42,0,21,Under 25 years
11154,Megan,Walker,6898 Holiday Hills,Woodburn,Oregon,United States,97071,918-555-0186,1976-08-21,Partial College,Skilled Manual,F,S,1,1,0,0,33375,38,0,21,Under 25 years
11155,Hunter,Robinson,8356 Mori Court,Burbank,California,United States,91502,891-555-0125,1976-01-26,Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1,21,Under 25 years
11157,Hannah,Long,1832 Preston Ct.,Tacoma,Washington,United States,98403,974-555-0177,1975-06-11,High School,Skilled Manual,F,M,1,2,0,0,45639,50,0,22,Under 25 years
